"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","524","GET book by ID - should return valid book","Surefire suite","Sat Nov 08 12:18:08 UTC 2025","passed","Sat Nov 08 12:18:08 UTC 2025","org.example.tests.books.happy_path.GetBooksTest","Surefire test","org.example.tests.books.happy_path.GetBooksTest","shouldReturnBookById"
"","436","DELETE non-existing book should return 404","Surefire suite","Sat Nov 08 12:18:14 UTC 2025","failed","Sat Nov 08 12:18:15 UTC 2025","org.example.tests.books.edge_cases.DeleteBooksEdgeCasesTest","Surefire test","org.example.tests.books.edge_cases.DeleteBooksEdgeCasesTest","deleteNonExistingBookShouldReturn404"
"","443","POST author with maximum data","Surefire suite","Sat Nov 08 12:18:04 UTC 2025","passed","Sat Nov 08 12:18:04 UTC 2025","org.example.tests.authors.edge_cases.PostAuthorsEdgeCasesTest","Surefire test","org.example.tests.authors.edge_cases.PostAuthorsEdgeCasesTest","postAuthorWithMaximumData"
"","621","POST book with invalid publishDate should return 400 validation error","Surefire suite","Sat Nov 08 12:18:11 UTC 2025","passed","Sat Nov 08 12:18:12 UTC 2025","org.example.tests.books.edge_cases.PostBooksEdgeCasesTest","Surefire test","org.example.tests.books.edge_cases.PostBooksEdgeCasesTest","updateBookWithInvalidPublishDate"
"","936","POST + DELETE author - should create and delete author successfully","Surefire suite","Sat Nov 08 12:18:01 UTC 2025","passed","Sat Nov 08 12:18:02 UTC 2025","org.example.tests.authors.happy_path.CreateAndDeleteAuthorTest","Surefire test","org.example.tests.authors.happy_path.CreateAndDeleteAuthorTest","shouldCreateAndDeleteAuthorSuccessfully"
"","624","GET all authors - should return non-empty list","Surefire suite","Sat Nov 08 12:18:02 UTC 2025","passed","Sat Nov 08 12:18:02 UTC 2025","org.example.tests.authors.happy_path.GetAuthorsTest","Surefire test","org.example.tests.authors.happy_path.GetAuthorsTest","shouldReturnAllAuthors"
"","447","PUT book update with minimal data","Surefire suite","Sat Nov 08 12:18:14 UTC 2025","failed","Sat Nov 08 12:18:14 UTC 2025","org.example.tests.books.edge_cases.PutBooksEdgeCasesTest","Surefire test","org.example.tests.books.edge_cases.PutBooksEdgeCasesTest","updateBookWithMinimalData"
"","452","PUT author update with maximum data","Surefire suite","Sat Nov 08 12:18:04 UTC 2025","passed","Sat Nov 08 12:18:05 UTC 2025","org.example.tests.authors.edge_cases.PutAuthorsEdgeCasesTest","Surefire test","org.example.tests.authors.edge_cases.PutAuthorsEdgeCasesTest","updateAuthorWithMaximumData"
"","1233","GET author by ID - should return valid author","Surefire suite","Sat Nov 08 12:18:02 UTC 2025","passed","Sat Nov 08 12:18:04 UTC 2025","org.example.tests.authors.happy_path.GetAuthorsTest","Surefire test","org.example.tests.authors.happy_path.GetAuthorsTest","shouldReturnAuthorsById"
"","3521","PUT author - should update author successfully","Surefire suite","Sat Nov 08 12:17:57 UTC 2025","passed","Sat Nov 08 12:18:01 UTC 2025","org.example.tests.authors.happy_path.UpdateAuthorTest","Surefire test","org.example.tests.authors.happy_path.UpdateAuthorTest","shouldUpdateAuthor"
